AvitoId,Category,Address,CompanyName,AdType,Description,Title,ContactMethod,Price,ManagerName,ImageUrls,Condition,ContactPhone,ListingFee,ProductType,GoodsType
89686656,Бытовая техника,"Москва, Никитский переулок, 3с4",Бытовая Техника,Товар приобретен на продажу,<p><strong>Вентилятор напольный LEX </strong></p>,Вентилятор напольный LEX,По телефону и в сообщениях,1999,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.BUADR7axqak18CukBWNXM9vkqa2_5qOr.59DUN3wnj4KSxBMczCtE_0FxmxC6tM_1FEl8gZfAUPg | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.r8Fb2raxAyhtbYElCfz9soN5Ayznewkq.D1mCrg0EZYjTeOCKh-1KbksBwICnYlZ6lgc7s2BoBl8,Новое,84955555555,Package,Вентиляторы,Климатическое оборудование
89686657,Бытовая техника,"Москва, Никитский переулок, 3с5",Бытовая Техника,Товар приобретен на продажу,<p><strong>Вытяжка ELIKOR</strong></p> <p><strong>Вытяжка ELIKOR FL6634W1 (КВ II M-650-60-38 белый SM/дуб неокр) ,Вытяжка elikor,По телефону и в сообщениях,10000,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.TV6qCLax4becv2O6vFEfLXKr4bMWqeu1.UanlvH13lt2RDI4X1GcPxbPcG_Rcgt5klui3MPS587g,Новое,84955555555,Package,Вытяжки,Для кухни
89686658,Бытовая техника,"Москва, Никитский переулок, 3с6",Бытовая Техника,Товар приобретен на продажу,<p><strong>Кофеварка рожкового типа Supra</strong></p> <p><strong>Кофеварка рожкового типа Supra CMS-1510</strong></p>,Кофеварка рожкового типа Supra,По телефону и в сообщениях,4099,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.dWJ6Rbax2YtM8luGHGBeVarm2Y_G5NOJ.k-4BC9CCSOoV-_MwHUS-HCR8OWBIws0t-AVL3icHNYE | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.yKXsl7axZEzaIOZB8ODkkjw0ZEhQNm5O.MePmNKF0ZpewXoubzJbLxekroCj4T7wYxKYdH3VU8og,Новое,84955555555,Package,Мелкая кухонная техника,Для кухни
89686659,Бытовая техника,"Москва, Никитский переулок, 3с7",Бытовая Техника,Товар приобретен на продажу,<p><strong>Микроволновая печь соло Haier HMX-MM207W<br/> Микроволновая печь соло Haier HMX-MM207W</strong></p> ,Микроволновая печь соло Haier,По телефону и в сообщениях,5699,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.JHXjebaxiJzVzgqRpzF2BjvaiJhf2IKe.H6glt-VDcvfcKSUCusi79w3515HRxt0JGmUvfUV37s8,Новое,84955555555,Package,Микроволновые печи,Для кухни
89686660,Бытовая техника,"Москва, Никитский переулок, 3с8",Бытовая Техника,Товар приобретен на продажу,<p><strong> Тепловая завеса Timberk </strong></p> <p><strong> Тепловая завеса Timberk THC WT1 M 9M </strong></p> ,Тепловая завеса Timberk,По телефону и в сообщениях,12799,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.XL5sDbax8FdaunJaWHQOzbSu8FPQrPpV.akJ-j6xyB3NHzFQ6rJSlVJQf0Bv7bA-c4IhjvPIpFdA,Новое,84955555555,Package,Обогреватели,Климатическое оборудование
89686661,Бытовая техника,"Москва, Никитский переулок, 3с9",Бытовая Техника,Товар приобретен на продажу,<p><strong> Воздухоувлажнитель Proffi PH8756 </strong></p> ,Воздухоувлажнитель Proffi PH8756,По телефону и в сообщениях,3199,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Fl0j1baxurQVYji5A9lELvt2urCfdLC2.31N-mUSXAkDtmxrrV9KekTKr_wNWRLwLXggYdgwUcxE | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Uz1kDbax_9RSun3ZTgABTryu_9DYrPXW.TPL7rLXDJMm_IMEyPne9CnLEQLu3a7YJDWBd8PcgWBU | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.MEbT_raxnK_lSR6iv_5iNQtdnKtvX5at.rJNWdwXzWXE0Q3W5sarxSkkUfOYixYO4AaWL4mklbvE,Новое,84955555555,Package,Очистители воздуха,Климатическое оборудование
89686662,Бытовая техника,"Москва, Никитский переулок, 3с10",Бытовая Техника,Товар приобретен на продажу,<p><strong>Газ. плита (Брест) Gefest</strong></p> ,Газовая плита (Брест) Gefest,По телефону и в сообщениях,16599,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.crzSSrax3lXk_VxYuicnzwrp3lFu69RX.lhXiMpbw1SWu-C4Oip4_IPrvli4l-ewQnJcSbzYvcm4,Новое,84955555555,Package,Плиты,Для кухни
89686663,Бытовая техника,"Москва, Никитский переулок, 3с11",Бытовая Техника,Товар приобретен на продажу,<p><strong>Посудомоечная машина (45 см) Indesit </strong></p> ,Посудомоечная машина (45 см) Indesit,По телефону и в сообщениях,37099,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Y8RshLaxzy1aM00gJqlP87wnzynQJcUv.VZraAQqGy9Mbkq--vYsQhSFjw6fJjARIocN_6NwpPFc | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.507MEraxS6f6pcmqjiXqQRyxS6Nws0Gl.JcroJZlGYlUhn9xeEQxiprphW237REVKxmXJARBUTRY,Новое,84955555555,Package,Посудомоечные машины,Для кухни
89686664,Бытовая техника,"Москва, Никитский переулок, 3с12",Бытовая Техника,Товар приобретен на продажу,<p><strong>Пылесос Samsung</strong></p>,Пылесос Samsung,По телефону и в сообщениях,8099,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.iHpT_raxJJNlSaaeT7TdCYtdJJfvXy6R.Bcu9rRaJV9jzgrzdUaRKzVMscEPYSgm6mzRDWVoTGUw | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.7dcdEbaxQT4rpsMzS1q4pMWyQTqhsEs8.jguN8EXYLWeYEFB517Zkf56Krd80cEC88kmiqL4kGqs,Новое,84955555555,Package,Пылесосы,Для дома
89686665,Бытовая техника,"Москва, Никитский переулок, 3с13",Бытовая Техника,Товар приобретен на продажу,<p><strong>Стиральная машина Samsung </strong></p> ,Стиральная машина Samsung,По телефону и в сообщениях,67900,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.SzWMi7ax59y6PGXRlpobBVwo59gwKu3e.rBe1tE16VKM6JSatTRd19aAUhu4NUiScPnF-puai4po | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.djrwVbax2tPG4ljekFgmCiD22tdM9NDR.UbF0isuscu_Yy35Pm4mGHaWnvZVyjJI5Kmr_uQPWDwE,Новое,84955555555,Package,Стиральные машины,Для дома
89686666,Бытовая техника,"Москва, Никитский переулок, 3с14",Бытовая Техника,Товар приобретен на продажу,<p><strong>Утюг Polaris</strong></p>,Утюг Polaris,По телефону и в сообщениях,2499,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.jpDcBraxInnqsaB0zHiy4wKlIn1gpyh7.9HgxQqRJU65lvg1Inw-EyPIa81z7FRBCz_Wf6E14Xvk | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.ouJrnbaxDgtdKowGI7_B-Ls-Dg_XPAQJ.YDavA11yvBasf-3rOt8YJVyVz_HZICo-Py0qtb_fVfY,Новое,84955555555,Package,Утюги,Для дома
89686667,Бытовая техника,"Москва, Никитский переулок, 3с15",Бытовая Техника,Товар приобретен на продажу,<p><strong>Винный шкаф John Lewis</strong></p>,Винный шкаф John Lewis,По телефону и в сообщениях,161899,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.3wl8m7axc-BKLPHtTojbfLo4c-TAOnni.GwqOXVJ0pMH4W6zB93sIivbFGnfw9yO6MiTLjBpJyIQ | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.NJpvN7axmHNZgBp-Czsw76mUmHfTlpJx.IOFmKVSLlHGeUdmwlqxSP5sCvUDqzaMV2dnOF1Quy3M,Новое,84955555555,Package,Холодильники и морозильные камеры,Для кухни
89686668,Бытовая техника,"Москва, Никитский переулок, 3с16",Бытовая Техника,Товар приобретен на продажу,<p><strong> Фен для волос GALAXY </strong></p> ,Фен для волос galaxy,По телефону и в сообщениях,1099,Александр,http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.1UADZ7axeak10PukJVCHM9vEea2_xnOr.2M8HyZLpfGGNOvqjDUMQEO31TPsUlYyhaG3ulaBTftI | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.MoBf9LaxnmlpQxxkN9hg84dXnm3jVZRr.bTfdoHJVgcdLcDZgrxjB8QtLMegQhQs8JdrhfrWTk-A | http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.8hLhyLaxXvvXf9z2ieOgYTlrXv9daVT5.Ae2f1owqEcOhqrOHlJa5WALEw8OT0LqVX_MZV7DLZY0,Новое,84955555555,Package,Фены и приборы для укладки,Для индивидуального ухода
